target_rva,target_size,zh_source,alternates,confidence,ghidra_name,anchor
0x0041D290,4756,Drawable.cpp,0,high,FUN_0081d290,StructureHeal
0x00795140,2761,W3DPushButton.cpp,0,high,FUN_00b95140,Cameo_push
0x004F2C00,2751,WOLGameSetupMenu.cpp,0,high,FUN_008f2c00,GameSpyGameOptionsMenu.wnd:ListboxChatWindowGameSpyGameSetup
0x0088EC50,2713,debug_cmd.cpp,0,high,FUN_00c8ec50,"list (g|l|d|a|c) [ <pattern> ]  Shows some or all items of a specific type.  The following items are supported: - g: command groups - l: log groups (only those encountered yet) - d: log groups with descriptions (only those that have descriptions) - a: asserts (only those hit yet) - c: crashes (only those failed yet)  If a pattern is specified only items matching that pattern are shown. A pattern can contain any character, letter, or a wildcard '*'.  Please note that assert and crash items have their line number appended to the current file name, e.g. debug.cpp(13). "
0x0042F5A0,2666,GameClient.cpp,0,high,FUN_0082f5a0,TheAnimationSoundModuleManager
0x001D88C0,2556,ObjectCreationList.cpp,0,high,FUN_005d88c0,GenericDebris
0x00346D60,1950,ScriptEngine.cpp,0,high,FUN_00746d60,Advancing SeqScript '
0x005091F0,1890,WOLQuickMatchMenu.cpp,0,high,FUN_009091f0,WOLQuickMatchMenu.wnd:StaticTextTitle
0x0050C160,1867,WOLWelcomeMenu.cpp,0,high,FUN_0090c160,WOLWelcomeMenu.wnd:StaticTextHighscorePoints
0x004CDF20,1709,LanGameOptionsMenu.cpp,0,high,FUN_008cdf20,Menus/LanMapSelectMenu.wnd
0x005A92D0,1661,CommandXlat.cpp,0,high,FUN_009a92d0,VoiceEnterStateAttackUnit
0x0064FB90,1440,PeerThread.cpp,0,high,FUN_00a4fb90,maxRealPlayers
0x004E8DC0,1422,ScoreScreen.cpp,0,high,FUN_008e8dc0,ScoreScreen.wnd:StaticTextGameSaveComplete
0x00791730,1380,W3DHorizontalSlider.cpp,0,high,FUN_00b91730," Highlighted: (%d,%d) -> (%d,%d), step %d/%g, full %d/%d"
0x00432010,1361,Drawable.h,0,high,FUN_00832010,Drawable
0x004E5420,1170,ScoreScreen.cpp,0,high,FUN_008e5420,ScoreScreen.wnd:ButtonAdd%d
0x002BE4A0,1160,CreateObjectDie.h,0,high,FUN_006be4a0,CreateObjectDie
