# Ghidra boundary artifacts among the <= 16 byte functions: RVAs whose
# retail bytes do not read as a complete function, so no source could ever
# reproduce them. tools/gen_small.py never claims one.
#
# Regenerate (deterministic, from the retail image): python3 tools/gen_small.py classify
# Format: 0x<rva> <reason>
0x0001466E mid-instruction-target: jmp rel32 to 0x002A5A30, which is not a function start (FUN_0041466e)
0x00014C45 truncated-jmp: 1-byte body cannot hold a jmp rel32 (FUN_00414c45)
0x000282D6 mid-instruction-target: jmp rel32 to 0x00369460, which is not a function start (FUN_004282d6)
0x0002F6FD mid-instruction-target: jmp rel32 to 0x006C6EC0, which is not a function start (FUN_0042f6fd)
0x00035C42 mid-instruction-target: jmp rel32 to 0x0060D5D0, which is not a function start (FUN_00435c42)
0x0006CDF0 int3-truncated: body ends in padding, not an instruction (FUN_0046cdf0)
0x0006CFD0 int3-truncated: body ends in padding, not an instruction (FUN_0046cfd0)
0x0006D1D0 int3-truncated: body ends in padding, not an instruction (FUN_0046d1d0)
0x0006D3B0 int3-truncated: body ends in padding, not an instruction (FUN_0046d3b0)
0x0006D5C0 int3-truncated: body ends in padding, not an instruction (FUN_0046d5c0)
0x0006D7A0 int3-truncated: body ends in padding, not an instruction (FUN_0046d7a0)
0x0006D990 int3-truncated: body ends in padding, not an instruction (FUN_0046d990)
0x0006DB70 int3-truncated: body ends in padding, not an instruction (FUN_0046db70)
0x00097970 int3-truncated: body ends in padding, not an instruction (FUN_00497970)
0x00097B50 int3-truncated: body ends in padding, not an instruction (FUN_00497b50)
0x00102240 no-terminator: body ends mid-instruction (568b3550d82e0185f6eb155733c0bf) (FUN_00502240)
0x00384340 int3-truncated: body ends in padding, not an instruction (FUN_00784340)
0x00384520 int3-truncated: body ends in padding, not an instruction (FUN_00784520)
0x00384720 int3-truncated: body ends in padding, not an instruction (FUN_00784720)
0x00384900 int3-truncated: body ends in padding, not an instruction (FUN_00784900)
0x003C6580 int3-truncated: body ends in padding, not an instruction (FUN_007c6580)
0x003C6760 int3-truncated: body ends in padding, not an instruction (FUN_007c6760)
0x003C6950 int3-truncated: body ends in padding, not an instruction (FUN_007c6950)
0x003C6B30 int3-truncated: body ends in padding, not an instruction (FUN_007c6b30)
0x00523650 int3-truncated: body ends in padding, not an instruction (FUN_00923650)
0x00523830 int3-truncated: body ends in padding, not an instruction (FUN_00923830)
0x00523A30 int3-truncated: body ends in padding, not an instruction (FUN_00923a30)
0x00523C10 int3-truncated: body ends in padding, not an instruction (FUN_00923c10)
0x00523E20 int3-truncated: body ends in padding, not an instruction (FUN_00923e20)
