table_va,target_rva,lexicon_name,size,current_row,status
0x012A82A0,0x000B1B70,MusicTrack,438,?d_000b1b70@@YAXXZ,unclaimed
0x012A82AC,0x000B1030,AudioEvent,648,?d_000b1030@@YAXXZ,unclaimed
0x012A82B8,0x000B1360,DialogEvent,442,?d_000b1360@@YAXXZ,unclaimed
0x012A82C4,0x000B1590,AmbientStream,443,?d_000b1590@@YAXXZ,unclaimed
0x012A82D0,0x000B17C0,StreamedSound,442,?d_000b17c0@@YAXXZ,unclaimed
0x012A8330,0x000B4B70,AudioSettings,519,?d_000b4b70@@YAXXZ,unclaimed
0x012A840C,0x000B7E70,AerialPathfindNoFlyZone,173,?d_000b7e70@@YAXXZ,unclaimed
0x012A844C,0x000B7F50,AIData,5,?j_000b7f50@@YAXXZ,unclaimed
0x012A8574,0x000B8C90,SkyboxTextureSet,229,?d_000b8c90@@YAXXZ,unclaimed
0x012A85B0,0x00085C20,GameData,1171,?d_00085c20@@YAXXZ,unclaimed
0x012A87AC,0x000C2BC0,WaterTextureList,281,?d_000c2bc0@@YAXXZ,unclaimed
0x012A88A0,0x000C3060,VictorySystemData,261,?d_000c3060@@YAXXZ,unclaimed
0x012A8BD4,0x000DF1A0,PlayerAIType,17,?d_000df1a0@@YAXXZ,unclaimed
0x012A93D8,0x00506040,WOLQuickMatchMenu,126,?d_00506040@@YAXXZ,unclaimed
0x012A93F0,0x004C4AB0,IMECandidateMainDraw,224,?d_004c4ab0@@YAXXZ,unclaimed
0x012A93FC,0x004C4BD0,IMECandidateTextAreaDraw,838,?d_004c4bd0@@YAXXZ,unclaimed
0x012A942C,0x004BCBB0,GadgetPushButtonSystem,237,?d_004bcbb0@@YAXXZ,unclaimed
0x012A9474,0x004B6190,GadgetImageComboBoxSystem,,,unclaimed
0x012A9480,0x004B5530,GadgetHorizontalSliderSystem,951,?d_004b5530@@YAXXZ,unclaimed
0x012A948C,0x004BFBE0,GadgetVerticalSliderSystem,806,?d_004bfbe0@@YAXXZ,unclaimed
0x012A94B0,0x004BE340,GadgetTextEntrySystem,744,?d_004be340@@YAXXZ,unclaimed
0x012A94BC,0x004C5860,MessageBoxSystem,680,?d_004c5860@@YAXXZ,unclaimed
0x012A94E0,0x004D1C40,MapSelectMenuSystem,1628,?d_004d1c40@@YAXXZ,unclaimed
0x012A94EC,0x004E0A70,ReplayMenuSystem,1248,?d_004e0a70@@YAXXZ,unclaimed
0x012A9510,0x004CDF20,LanGameOptionsMenuSystem,,,unclaimed
0x012A951C,0x004D0820,LanMapSelectMenuSystem,1588,?d_004d0820@@YAXXZ,unclaimed
0x012A9528,0x004DFEF0,SaveLoadMenuSystem,1517,?d_004dfef0@@YAXXZ,unclaimed
0x012A9558,0x004C9C60,KeyboardOptionsMenuSystem,991,?d_004c9c60@@YAXXZ,unclaimed
0x012A9570,0x004FF2E0,WOLLocaleSelectSystem,1050,?d_004ff2e0@@YAXXZ,unclaimed
0x012A9588,0x004F5D10,WOLGameSetupMenuSystem,2352,?d_004f5d10@@YAXXZ,unclaimed
0x012A9594,0x00504600,WOLMapSelectMenuSystem,1372,?d_00504600@@YAXXZ,unclaimed
0x012A95A0,0x004EFAF0,WOLBuddyOverlaySystem,784,?d_004efaf0@@YAXXZ,unclaimed
0x012A95B8,0x004D8440,RCGameDetailsMenuSystem,607,?d_004d8440@@YAXXZ,unclaimed
0x012A95DC,0x0050D030,WOLWelcomeMenuSystem,707,?d_0050d030@@YAXXZ,unclaimed
0x012A960C,0x004D3970,NetworkDirectConnectSystem,542,?d_004d3970@@YAXXZ,unclaimed
0x012A9630,0x004D8A80,PopupLadderSelectSystem,896,?d_004d8a80@@YAXXZ,unclaimed
0x012A9648,0x004C0560,ControlBarSystem,1459,?d_004c0560@@YAXXZ,unclaimed
0x012A96C0,0x004E5420,ScoreScreenSystem,1170,?d_004e5420@@YAXXZ,unclaimed
0x012A9720,0x004B8940,GadgetListBoxInput,,,unclaimed
0x012A9738,0x004B4010,GadgetComboBoxInput,539,?d_004b4010@@YAXXZ,unclaimed
0x012A9744,0x004B5E40,GadgetImageComboBoxInput,,,unclaimed
0x012A9750,0x004B4FF0,GadgetHorizontalSliderInput,,,unclaimed
0x012A9774,0x004BEBD0,GadgetTextEntryInput,,,unclaimed
0x012A9810,0x004F0B40,WOLGameSetupMenuInput,,,unclaimed
0x012A98B8,0x004BFFD0,ControlBarInput,,,unclaimed
0x012A98C4,0x004C6A10,ReplayControlInput,,,unclaimed
0x012A98DC,0x004C8560,EstablishConnectionsControlInput,,,unclaimed
0x012A98E8,0x004BFFE0,LeftHUDInput,,,unclaimed
0x012A9900,0x004DEFE0,SaveLoadMenuInput,,,unclaimed
0x012A9918,0x004C6F60,DifficultySelectInput,,,unclaimed
0x012A9988,0x004CAA90,KeyboardOptionsMenuInit,781,?d_004caa90@@YAXXZ,unclaimed
0x012A99A0,0x004D1370,MapSelectMenuInit,868,?d_004d1370@@YAXXZ,unclaimed
0x012A99AC,0x004CF440,LanLobbyMenuInit,,,unclaimed
0x012A99B8,0x004E1D00,ReplayMenuInit,808,?d_004e1d00@@YAXXZ,unclaimed
0x012A99D0,0x004CDA50,LanGameOptionsMenuInit,,,unclaimed
0x012A99DC,0x004D0230,LanMapSelectMenuInit,1010,?d_004d0230@@YAXXZ,unclaimed
0x012A9A0C,0x004F52C0,WOLGameSetupMenuInit,2101,?d_004f52c0@@YAXXZ,unclaimed
0x012A9A18,0x00503FA0,WOLMapSelectMenuInit,1100,?d_00503fa0@@YAXXZ,unclaimed
0x012A9A3C,0x004D7A10,RCGameDetailsMenuInit,,,unclaimed
0x012A9A48,0x004DDD10,GameSpyPlayerInfoOverlayInit,823,?d_004ddd10@@YAXXZ,unclaimed
0x012A9A60,0x0050C160,WOLWelcomeMenuInit,1867,?d_0050c160@@YAXXZ,unclaimed
0x012A9A90,0x004D2700,NetworkDirectConnectInit,1330,?d_004d2700@@YAXXZ,unclaimed
0x012A9AD8,0x004E8DC0,ScoreScreenInit,1422,?d_004e8dc0@@YAXXZ,unclaimed
0x012A9B2C,0x004CE980,LanLobbyMenuUpdate,510,?d_004ce980@@YAXXZ,unclaimed
0x012A9B38,0x004E2410,ReplayMenuUpdate,277,?d_004e2410@@YAXXZ,unclaimed
0x012A9B44,0x004DF9C0,SaveLoadMenuUpdate,297,?d_004df9c0@@YAXXZ,unclaimed
0x012A9B5C,0x004CD470,LanGameOptionsMenuUpdate,296,?d_004cd470@@YAXXZ,unclaimed
0x012A9B68,0x004D0220,LanMapSelectMenuUpdate,,,unclaimed
0x012A9B80,0x004FF010,WOLLocaleSelectUpdate,,,unclaimed
0x012A9B98,0x004F6B60,WOLGameSetupMenuUpdate,,,unclaimed
0x012A9BC8,0x00504CF0,WOLMessageWindowUpdate,,,unclaimed
0x012A9BD4,0x0050CA80,WOLWelcomeMenuUpdate,1164,?d_0050ca80@@YAXXZ,unclaimed
0x012A9BE0,0x0050ACF0,WOLStatusMenuUpdate,,,unclaimed
0x012A9BEC,0x00504FA0,WOLQMScoreScreenUpdate,,,unclaimed
0x012A9BF8,0x004F0400,WOLCustomScoreScreenUpdate,,,unclaimed
0x012A9C50,0x004D3C20,PopupCommunicatorShutdown,,,unclaimed
0x012A9C80,0x004CFF40,LanLobbyMenuShutdown,324,?d_004cff40@@YAXXZ,unclaimed
0x012A9CE0,0x004F0E70,WOLGameSetupMenuShutdown,184,?d_004f0e70@@YAXXZ,unclaimed
0x012AEC70,0x0022A360,Rider1,184,?d_0022a360@@YAXXZ,unclaimed
0x012AEC80,0x0022A360,Rider2,184,?d_0022a360@@YAXXZ,unclaimed
0x012AEC90,0x0022A360,Rider3,184,?d_0022a360@@YAXXZ,unclaimed
0x012AECA0,0x0022A360,Rider4,184,?d_0022a360@@YAXXZ,unclaimed
0x012AECB0,0x0022A360,Rider5,184,?d_0022a360@@YAXXZ,unclaimed
0x012AECC0,0x0022A360,Rider6,184,?d_0022a360@@YAXXZ,unclaimed
0x012AECD0,0x0022A360,Rider7,184,?d_0022a360@@YAXXZ,unclaimed
0x012AECE0,0x0022A360,Rider8,184,?d_0022a360@@YAXXZ,unclaimed
0x012B3C7C,0x00340A40,ScriptAction,121,?d_00340a40@@YAXXZ,unclaimed
0x012B3C88,0x00340AE0,ScriptCondition,121,?d_00340ae0@@YAXXZ,unclaimed
0x012B3FD0,0x00366410,LivingWorldPlayerArmy,114,?d_00366410@@YAXXZ,unclaimed
0x012B4124,0x0036B7C0,ModifierList,313,?d_0036b7c0@@YAXXZ,unclaimed
0x012B42E8,0x0037B8A0,EmotionNugget,177,?d_0037b8a0@@YAXXZ,unclaimed
0x012B4390,0x00382460,ExperienceLevel,,,unclaimed
0x012B439C,0x00380400,ExperienceScalarTable,218,?d_00380400@@YAXXZ,unclaimed
