name,target_rva,target_size,source,notes
??1Gen_dtorv_0005e7b0@@UAE@XZ,0x0005DBE0,12,Code/gen_small/dtorsv_000.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtorv_0005e8f0@@UAE@XZ,0x0005DC00,8,Code/gen_small/dtorsv_000.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_0093e860@@UAE@XZ,0x0005E960,45,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_0005fa60@@UAE@XZ,0x0005EC20,134,Code/gen_small/dtors_000.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_0005fe80@@UAE@XZ,0x0005F4B0,103,Code/gen_small/dtors_000.cpp,reloc-derived;call-sites=1;identity=generated
??1PendingSurfaceStruct@Render2DSentenceClass@@QAE@XZ,0x0005F5E0,59,Code/GameEngineDevice/Source/W3DDevice/GameClient/GUI/GUICallbacks/W3DControlBar.cpp,reloc-derived;call-sites=1;identity=real
??$_M_allocate_and_copy@PAUGen_t_00065800_p4cd@@@?$vector@UGen_t_00065800_p4cd@@V?$allocator@UGen_t_00065800_p4cd@@@_STL@@@_STL@@IAEPAUGen_t_00065800_p4cd@@IPAU2@0@Z,0x000656F0,94,Code/gen_small/tgrid_100.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_00065a10@@UAE@XZ,0x000659E0,14,Code/gen_small/dtors_000.cpp,reloc-derived;call-sites=1;identity=generated
?j_0003a17a@@YAXXZ,0x00065C80,215,Code/GameEngine/Source/Common/AIMoveAndDeleteState_onEnter_Thunk.cpp,reloc-derived;call-sites=2;identity=real
?_M_insert@?$hashtable@U?$pair@$$CBW4NameKeyType@@VDamageFX@@@_STL@@W4NameKeyType@@U?$hash@W4NameKeyType@@@rts@@U?$_Select1st@U?$pair@$$CBW4NameKeyType@@VDamageFX@@@_STL@@@2@U?$equal_to@W4NameKeyType@@@5@V?$allocator@U?$pair@$$CBW4NameKeyType@@VDamageFX@@@_STL@@@2@@_STL@@QAEAAU?$pair@$$CBW4NameKeyType@@VDamageFX@@@2@ABU32@@Z,0x000675E0,114,Code/GameEngine/Source/Common/DamageFX.cpp,reloc-derived;call-sites=1;identity=real
