target_rva,size,literal,reference_source,candidate_function,port
0x004C1C30,4289,TOOLTIP:Cost,GameEngine/Source/GameClient/GUI/GUICallbacks/ControlBarPopupDescription.cpp,ControlBar::populateBuildTooltipLayout,
0x004F5D10,2352,GameSpyGameOptionsMenu.wnd:ButtonCommunicator,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLGameSetupMenu.cpp,StartPressed,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLGameSetupMenu.cpp
0x00346D60,1950,Advancing SeqScript ',GameEngine/Source/GameLogic/ScriptEngine/ScriptEngine.cpp,ScriptEngine::evaluateAndProgressAllSequentialScripts,
0x005091F0,1890,WOLQuickMatchMenu.wnd:ButtonBuddies,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLQuickMatchMenu.cpp,WOLQuickMatchMenuInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLQuickMatchMenu.cpp
0x0050C160,1867,WOLWelcomeMenu.wnd:WOLWelcomeMenuParent,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLWelcomeMenu.cpp,UpdateLocalPlayerStats,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLWelcomeMenu.cpp
0x004550C0,1814,MapCache.ini,GameEngine/Source/GameClient/MapUtil.cpp,WaypointMap::update,Code/GameEngine/Source/GameClient/MapUtil.cpp
0x005A8A10,1790,VoiceCrush,GameEngine/Source/GameClient/MessageStream/CommandXlat.cpp,pickAndPlayUnitVoiceResponse,
0x004E3D40,1714,ScoreScreen.wnd:StaticTextPlayer%d,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ScoreScreen.cpp,populatePlayerInfo,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ScoreScreen.cpp
0x005A92D0,1661,VoiceBombard,GameEngine/Source/GameClient/MessageStream/CommandXlat.cpp,pickAndPlayUnitVoiceResponse,
0x004E8DC0,1422,ScoreScreen.wnd:ParentScoreScreen,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ScoreScreen.cpp,ScoreScreenInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ScoreScreen.cpp
0x004D2700,1330,NetworkDirectConnect.wnd:ButtonBack,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/NetworkDirectConnect.cpp,NetworkDirectConnectInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/NetworkDirectConnect.cpp
0x004E3720,1251,ScoreScreen.wnd:StaticTextPlayer%d,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ScoreScreen.cpp,populatePlayerInfo,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ScoreScreen.cpp
0x004E0A70,1248,GUI:PleaseSelectAFile,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ReplayMenu.cpp,reallyLoadReplay,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ReplayMenu.cpp
0x004D7E60,1202,GUI:LadderNameAndSize,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupLadderSelect.cpp,updateLadderDetails,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupLadderSelect.cpp
